categorie;naam;straat;postcode;stad;provincie;website;source
"LEEG_ROMMEL_16";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_17";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_18";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_19";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_20";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_21";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_22";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_23";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_24";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_25";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_26";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_27";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_28";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_29";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_30";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_31";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_32";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_33";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_34";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_35";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_36";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_37";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_38";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_39";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_40";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_41";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_42";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_43";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_44";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_45";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_46";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_47";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_48";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_49";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_50";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_51";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_52";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_53";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_54";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_55";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_56";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_57";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_58";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_59";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_60";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_61";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_62";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_63";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_64";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_65";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_66";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_67";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_68";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_69";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_70";"";"";"";"";"";"";"Architectenweb"
"LEEG_ROMMEL_71";"";"";"";"";"";"";"Architectenweb"
